segment_type,segment,orders,observed,expected,raw_late_rate,smr,ci_lower,ci_upper,excess_late_orders,p_excess,q_excess,seller_tail,positive_excess,seller_share,cumulative_positive_excess_share
seller,7586919161935337bf6b6d7ff5779648,11,2.0,0.7167328287576388,0.18181818181818182,2.790440063233513,0.33793523726798264,10.080028956183014,1.2832671712423611,0.16164183264603593,,False,1.2832671712423611,0.12245590230664857,0.811031103255937
seller,4091f77d8c768fc3e81c20761471761d,8,2.0,0.7205617093398684,0.25,2.7756123786153855,0.33613953587106554,10.02646626108227,1.2794382906601316,0.16298299879911132,,False,1.2794382906601316,0.12279511533242876,0.8117083563752905
seller,cfe94489ddd337d1e29e12f2a7205d10,20,2.0,0.7212017672280938,0.1,2.7731490560358845,0.3358412160786646,10.017567892951398,1.2787982327719063,0.16320739128198813,,False,1.2787982327719063,0.12313432835820895,0.8123852706887754
seller,5b35136197710e16ac5e7b7c2bd4ea85,7,2.0,0.7238956210704557,0.2857142857142857,2.7628292557461718,0.33459144038722005,9.980289226008168,1.2761043789295443,0.16415241347248594,,False,1.2761043789295443,0.12347354138398914,0.813060759047659
seller,f62d7bb4a613ec758a03342d46b580b2,32,4.0,2.7267935434346695,0.125,1.4669244063713014,0.3996875290578583,3.7559090969914015,1.2732064565653305,0.29182344645472247,,False,1.2732064565653305,0.12381275440976934,0.8137347134310664
seller,e3dd723429d1b23614b7fa85e2c7a853,7,2.0,0.7341005265195018,0.2857142857142857,2.724422511290583,0.3299402054543147,9.841550859495307,1.2658994734804982,0.16774107285847004,,False,1.2658994734804982,0.12415196743554953,0.8144047999631494
seller,327b89b872c14d1c0be7235ef4871685,3,2.0,0.735106525839612,0.6666666666666666,2.720694116700532,0.329488679572423,9.828082616287734,1.264893474160388,0.1680955729947978,,False,1.264893474160388,0.12449118046132972,0.8150743539832834
seller,1976a05ecf2996d6ffb7b5430e635fe7,8,2.0,0.7395851110464677,0.25,2.704218852067103,0.3274934485920811,9.768568295677921,1.2604148889535323,0.16967531520015028,,False,1.2604148889535323,0.1248303934871099,0.8157415373257353
seller,c7fdb77fdbff3c41981bc52f787e959e,8,2.0,0.7401453365004684,0.25,2.7021719942955205,0.3272455646200126,9.761174341627953,1.2598546634995316,0.16987310143266082,,False,1.2598546634995316,0.1251696065128901,0.8164084241205231
seller,6f229cc508fc6915ed5c499efd93baa4,13,2.0,0.7602536545928564,0.15384615384615385,2.6307009350334174,0.31859008776968906,9.50299630140291,1.2397463454071436,0.17699724763200128,,False,1.2397463454071436,0.1255088195386703,0.8170646668527934
